TaDiRAH Kategorie,machine label (from readme on github),label EN (from tadirah.dariah.eu/vocab),label EN (course registry),QID,tema number,related research activity (tema number),Mapping DH Zotero,Mapping Custom Zotero,used in *****,Not matched from Zotero
Research Activities,assessing,Meta: Assessing,Meta: Assessing,,50,,meta_Assessing; activity: Assess,meta_Assessing; activity: Assess,X,
Research Activities,community_building,Meta: Community Building,Meta: Community Building,Q5154924,51,,,meta_CommunityBuilding,,
Research Activities,give_overview,Meta: Give Overview,Meta: Give Overview,,52,,meta_GiveOverview,meta_GiveOverview,x,
Research Activities,project_management,Meta: Project Management,Meta: Project Management,Q179012,53,,meta_ProjectManagement,meta_ProjectManagement,,
Research Activities,teaching_and_learning,Meta: Teaching / Learning,Meta: Teaching / Learning,,54,,meta_Teaching/Learning; act_Teaching/Learning; meta_Teaching,meta_Teaching/Learning; act_Teaching/Learning; meta_Teaching,X,
Research Techniques,bit_stream_preservation > storage - preservation,Bit Stream Preservation,Bit Stream Preservation,,93,41,,t_BitStreamPreservation,,
Research Techniques,brainstorming,Brainstorming,Brainstorming,Q191183,94,,,t_Brainstorming,,
Research Techniques,browsing,Browsing,Browsing,Q516508,95,,,t_Browsing,,
Research Techniques,cluster_analysis > analysis - stylistic_analysis,Cluster Analysis,Cluster Analysis,Q622825,96,,t_Clustering,t_Clustering,X,
Research Techniques,collocation_analysis > analysis - structural_analysis,Collocation Analysis,Collocation Analysis,,97,31,,t_CollocationAnalysis,,
Research Techniques,commenting,???,Commenting,,,30,,t_Commenting,,
Research Techniques,concordancing > analysis - structural_analysis,Concordancing,Concordancing,,99,30,,t_Concordancing,,
Research Techniques,debugging,Debugging,Debugging,Q845566,100,,,t_Debugging,,
Research Techniques,distance_measures > analysis - stylistic_analysis,Distance Measures,Distance Measures,Q1344778,101,31,,t_DistanceMeasures,X,
Research Techniques,durable_persistent_media > storage - preservation,Durable Persistent Media,Durable Persistent Media,,102,41,,t_DurablePersistentMedia,X,
Research Techniques,emulation > storage - preservation,Emulation,Emulation,,103,41,,t_Emulation,,
Research Techniques,encoding,Encoding,Encoding,,104,,t_Encoding,t_Encoding,X,
Research Techniques,gamification > dissemination - crowdsourcing,Gamification,Gamification,Q1067402,105,46,obj_Games,obj_Games,X,
Research Techniques,georeferencing > enrichment - annotation,Georeferencing,Georeferencing,Q772007,106,,,t_Georeferencing,,
Research Techniques,information_retrieval > analysis - content_analysis,Information Retrieval,Information Retrieval,Q816826,107,26,t_InformationRetrieval,t_InformationRetrieval,X,
Research Techniques,linked_open_data > enrichment - annotation ; dissemination - publishing,Linked open data,Linked Open Data,Q18692990,108,22; 47,,t_LinkedOpenData,,
Research Techniques,machine_learning > analysis - structural_analysis ; analysis stylistic_analysis ; analysis - content_analysis,Machine Learning,Machine Learning,Q2539,109,30; 31; 26,t_MachineLearning,t_MachineLearning,X,
Research Techniques,mapping,Mapping,Mapping,Q2330408,110,,t_Mapping,t_Mapping,,
Research Techniques,migration > storage - preservation,Migration,Migration,Q1932543,111,41,,t_Migration,,
Research Techniques,named_entity_recognition > enrichment - annotation ; analysis - content_analysis ,Named Entity Recognition,Named Entity Recognition,Q403574,112,22; 26,t_NamedEntityRecognition,t_NamedEntityRecognition,X,
Research Techniques,open_archival_information_systems > storage - preservation,Open Archival Information Systems,Open Archival Information Systems,Q1469973,113,41,,t_OAIS,,
Research Techniques,pattern_recognition > analysis - relational_analysis,Pattern Recognition,Pattern Recognition,Q378859,114,28,,t_PatternRecognition,X,
Research Techniques,photography,Photography,Photography,Q11633,115,,,t_Photography,,
Research Techniques,POS_tagging > analysis - structural_analysis,POS-Tagging,POS-Tagging,Q1271424,116,30,,t_POSTagging,,
